Gene Species Taxon Signature
0 Coli_002456 Coli_002456 0.10522839446040957
0 Coli_018220 Coli_018220 0.012459745944596584
0 Coli_007170 Coli_007170 0.10522839446040957
0 Coli_007749 Coli_007749 0.10522839446040957
0 Coli_002466 Coli_002466 0.10522839446040957
0 Coli_002486 Coli_002486 0.10522839446040957
0 Coli_002597 Coli_002597 0.10522839446040957
0 Coli_012707 Coli_012707 0.10522839446040957
0 Coli_006753 Coli_006753 0.10522839446040957
0 Coli_011511 Coli_011511 0.10522839446040957
0 Coli_012826 Coli_012826 0.01928308135224332
0 Coli_009178 Coli_009178 0.01928308135224332
0 Coli_007253 Coli_007253 0.01928308135224332
0 Coli_011149 Coli_011149 0.01928308135224332
0 Coli_010972 Coli_010972 0.009397053082747832
0 Coli_002415 Coli_002415 0.0038119393315474777
0 Coli_002422 Coli_002422 0.0038119393315474777
0 Coli_002408 Coli_002408 0.0038119393315474777
0 Coli_002596 Coli_002596 0.0010827108141735458
0 Coli_012825 Coli_012825 0.005215119014881115
0 Coli_020163 Coli_020163 0.012459745944596584
0 Coli_020158 Coli_020158 0.012459745944596584
0 Coli_014979 Coli_014979 0.012459745944596584
0 Coli_020165 Coli_020165 0.012459745944596584
0 Coli_018207 Coli_018207 0.012459745944596584
0 Coli_018126 Coli_018126 0.012459745944596584
0 Coli_018143 Coli_018143 0.012459745944596584
0 Coli_014961 Coli_014961 0.012459745944596584
0 Coli_011432 Coli_011432 0.012361111654895913
0 Coli_015110 Coli_015110 0.008133124275727066
0 Coli_015125 Coli_015125 0.008133124275727066
0 Coli_015109 Coli_015109 0.008133124275727066
0 Coli_015113 Coli_015113 0.005215119014881115
0 Coli_012731 Coli_012731 0.005215119014881115
