Gene Species Taxon Signature
0 Coli_005317 Coli_005317 0.30450054759014133
0 Coli_007859 Coli_007859 0.30450054759014133
0 Coli_018484 Coli_018484 0.30450054759014133
0 Coli_009219 Coli_009219 0.30450054759014133
0 Coli_005403 Coli_005403 0.30450054759014133
0 Coli_005316 Coli_005316 0.30450054759014133
0 Coli_006173 Coli_006173 0.30450054759014133
0 Coli_016381 Coli_016381 0.30450054759014133
0 Coli_006691 Coli_006691 0.30450054759014133
0 Coli_006327 Coli_006327 0.30450054759014133
0 Coli_011226 Coli_011226 0.30420832149449334
0 Coli_012286 Coli_012286 0.30420832149449334
0 Coli_012786 Coli_012786 0.30420832149449334
0 Coli_013401 Coli_013401 0.30420832149449334
0 Coli_003932 Coli_003932 0.30420832149449334
0 Coli_001872 Coli_001872 0.30420832149449334
0 Coli_016019 Coli_016019 0.30420832149449334
0 Coli_014218 Coli_014218 0.30420832149449334
0 Coli_014217 Coli_014217 0.30420832149449334
0 Coli_017212 Coli_017212 0.30420832149449334
0 Coli_017211 Coli_017211 0.30420832149449334
0 Coli_019880 Coli_019880 0.027115951757562293
0 Coli_019652 Coli_019652 0.056448874378903884
0 Coli_017210 Coli_017210 0.30420832149449334
0 Coli_012601 Coli_012601 0.30420832149449334
0 Coli_012604 Coli_012604 0.30420832149449334
0 Coli_011060 Coli_011060 0.30420832149449334
0 Coli_011050 Coli_011050 0.30420832149449334
0 Coli_016743 Coli_016743 0.009837715366846312
0 Coli_019656 Coli_019656 0.056448874378903884
0 Coli_019653 Coli_019653 0.056448874378903884
