Gene Species Taxon Signature
0 Coli_007681 Coli_007681 0.14370772722328892
0 Coli_007887 Coli_007887 0.13387621066150773
0 Coli_007306 Coli_007306 0.09090796899742513
0 Coli_001327 Coli_001327 0.06736945411372836
0 Coli_017818 Coli_017818 0.06736945411372836
0 Coli_010374 Coli_010374 0.06736945411372836
0 Coli_007639 Coli_007639 0.06736945411372836
0 Coli_007888 Coli_007888 0.06736945411372836
0 Coli_007346 Coli_007346 0.06736945411372836
0 Coli_008683 Coli_008683 0.06736945411372836
0 Coli_007640 Coli_007640 0.06736945411372836
0 Coli_016222 Coli_016222 0.06736945411372836
0 Coli_010412 Coli_010412 0.06736945411372836
0 Coli_009446 Coli_009446 0.06736945411372836
0 Coli_005679 Coli_005679 0.06736945411372836
0 Coli_002289 Coli_002289 0.06736945411372836
0 Coli_013593 Coli_013593 0.06736945411372836
0 Coli_020385 Coli_020385 0.06736945411372836
0 Coli_010684 Coli_010684 0.018906796451714558
0 Coli_007323 Coli_007323 0.018906796451714558
0 Coli_011918 Coli_011918 0.06736945411372836
0 Coli_020753 Coli_020753 0.06736945411372836
0 Coli_006190 Coli_006190 0.06736945411372836
0 Coli_020460 Coli_020460 0.032646187418811055
0 Coli_013590 Coli_013590 0.032646187418811055
0 Coli_011621 Coli_011621 0.032646187418811055
0 Coli_000589 Coli_000589 0.032646187418811055
0 Coli_008112 Coli_008112 0.032646187418811055
0 Coli_001351 Coli_001351 0.032646187418811055
0 Coli_010824 Coli_010824 0.032646187418811055
0 Coli_011135 Coli_011135 0.032646187418811055
0 Coli_005434 Coli_005434 0.0073268623503756035
0 Coli_012561 Coli_012561 0.012188801938374119
0 Coli_009488 Coli_009488 0.0073268623503756035
0 Coli_005426 Coli_005426 0.0073268623503756035
0 Coli_014886 Coli_014886 0.005315388134142628
0 Coli_012562 Coli_012562 0.012188801938374119
0 Coli_005722 Coli_005722 0.012188801938374119
0 Coli_012559 Coli_012559 0.012188801938374119
0 Coli_007337 Coli_007337 0.012188801938374119
0 Coli_007348 Coli_007348 0.012188801938374119
0 Coli_012563 Coli_012563 0.012188801938374119
