Gene Species Taxon Signature
0 Coli_019416 Coli_019416 0.35186812109476096
0 Coli_019916 Coli_019916 0.09902562088118962
0 Coli_018487 Coli_018487 0.09902562088118962
0 Coli_018494 Coli_018494 0.09902562088118962
0 Coli_007892 Coli_007892 0.09902562088118962
0 Coli_019894 Coli_019894 0.02600101511436114
0 Coli_008164 Coli_008164 0.011929749069208012
0 Coli_020442 Coli_020442 0.025042487523132356
0 Coli_016738 Coli_016738 0.025042487523132356
0 Coli_002300 Coli_002300 0.025042487523132356
0 Coli_014316 Coli_014316 0.025042487523132356
0 Coli_017625 Coli_017625 0.025042487523132356
0 Coli_010312 Coli_010312 0.011025620656302432
0 Coli_003464 Coli_003464 0.011929749069208012
0 Coli_000700 Coli_000700 0.011025620656302432
0 Coli_007344 Coli_007344 0.011025620656302432
0 Coli_009713 Coli_009713 0.011929749069208012
0 Coli_014315 Coli_014315 0.011929749069208012
0 Coli_017268 Coli_017268 0.011929749069208012
0 Coli_007693 Coli_007693 0.011929749069208012
0 Coli_017619 Coli_017619 0.011929749069208012
0 Coli_020273 Coli_020273 0.011929749069208012
0 Coli_020443 Coli_020443 0.007274892408969623
0 Coli_001497 Coli_001497 0.007274892408969623
0 Coli_019941 Coli_019941 0.007274892408969623
0 Coli_003809 Coli_003809 0.007274892408969623
0 Coli_006606 Coli_006606 0.007274892408969623
0 Coli_000906 Coli_000906 0.007145891732071265
0 Coli_019887 Coli_019887 0.007145891732071265
0 Coli_018250 Coli_018250 0.007145891732071265
0 Coli_008218 Coli_008218 0.007145891732071265
0 Coli_019160 Coli_019160 0.007145891732071265
0 Coli_002312 Coli_002312 0.00680700931297794
0 Coli_014309 Coli_014309 0.00680700931297794
0 Coli_002313 Coli_002313 0.00680700931297794
0 Coli_017692 Coli_017692 0.00680700931297794
0 Coli_010358 Coli_010358 0.00680700931297794
0 Coli_014312 Coli_014312 0.00680700931297794
0 Coli_012545 Coli_012545 0.00680700931297794
0 Coli_010284 Coli_010284 0.00680700931297794
0 Coli_018599 Coli_018599 0.00680700931297794
0 Coli_017438 Coli_017438 0.00680700931297794
0 Coli_017290 Coli_017290 0.00680700931297794
0 Coli_014078 Coli_014078 0.002721095836903554
0 Coli_020258 Coli_020258 0.002721095836903554
0 Coli_005620 Coli_005620 0.00680700931297794
0 Coli_018597 Coli_018597 0.00680700931297794
0 Coli_006322 Coli_006322 0.00680700931297794
0 Coli_008514 Coli_008514 0.00680700931297794
0 Coli_020615 Coli_020615 0.00680700931297794
0 Coli_019253 Coli_019253 0.00680700931297794
0 Coli_014033 Coli_014033 0.00680700931297794
0 Coli_006168 Coli_006168 0.00680700931297794
0 Coli_013404 Coli_013404 0.0033593622867702866
0 Coli_000036 Coli_000036 0.0033593622867702866
0 Coli_008508 Coli_008508 0.0033593622867702866
0 Coli_019659 Coli_019659 0.002721095836903554
0 Coli_002310 Coli_002310 0.002721095836903554
0 Coli_001493 Coli_001493 0.0033593622867702866
0 Coli_005495 Coli_005495 0.0033593622867702866
0 Coli_005637 Coli_005637 0.0033593622867702866
0 Coli_018975 Coli_018975 0.0033593622867702866
0 Coli_005492 Coli_005492 0.0033593622867702866
0 Coli_018972 Coli_018972 0.0033593622867702866
0 Coli_005640 Coli_005640 0.0025170639466080263
0 Coli_009753 Coli_009753 0.0025170639466080263
0 Coli_010303 Coli_010303 0.0025170639466080263
0 Coli_000770 Coli_000770 0.002721095836903554
0 Coli_005491 Coli_005491 0.002721095836903554
0 Coli_005624 Coli_005624 0.002721095836903554
0 Coli_005496 Coli_005496 0.002721095836903554
0 Coli_009136 Coli_009136 0.002721095836903554
0 Coli_018600 Coli_018600 0.002721095836903554
0 Coli_005494 Coli_005494 0.002721095836903554
0 Coli_017637 Coli_017637 0.002721095836903554
0 Coli_014793 Coli_014793 0.002721095836903554
0 Coli_012481 Coli_012481 0.0025170639466080263
0 Coli_007475 Coli_007475 0.0025170639466080263
0 Coli_017622 Coli_017622 0.0025170639466080263
0 Coli_002298 Coli_002298 0.0025170639466080263
0 Coli_007688 Coli_007688 0.0025170639466080263
0 Coli_010357 Coli_010357 0.0025170639466080263
0 Coli_018391 Coli_018391 0.0025170639466080263
0 Coli_001438 Coli_001438 0.002721095836903554
0 Coli_020632 Coli_020632 0.002721095836903554
0 Coli_018401 Coli_018401 0.002721095836903554
0 Coli_019050 Coli_019050 0.002721095836903554
0 Coli_018629 Coli_018629 0.002721095836903554
0 Coli_018973 Coli_018973 0.002721095836903554
