Gene Species Taxon Signature
0 Coli_007829 Coli_007829 0.09549691499704584
0 Coli_014890 Coli_014890 0.026314097564313688
0 Coli_012550 Coli_012550 0.026314097564313688
0 Coli_008001 Coli_008001 0.026314097564313688
0 Coli_012552 Coli_012552 0.026314097564313688
0 Coli_017343 Coli_017343 0.02376240645134031
0 Coli_015001 Coli_015001 0.02578668978968334
0 Coli_010691 Coli_010691 0.02578668978968334
0 Coli_013174 Coli_013174 0.02578668978968334
0 Coli_013830 Coli_013830 0.02578668978968334
0 Coli_014818 Coli_014818 0.02578668978968334
0 Coli_008613 Coli_008613 0.02578668978968334
0 Coli_008614 Coli_008614 0.02578668978968334
0 Coli_011507 Coli_011507 0.02578668978968334
0 Coli_017347 Coli_017347 0.02578668978968334
0 Coli_013113 Coli_013113 0.019238038976307607
0 Coli_015123 Coli_015123 0.012123871904060795
0 Coli_014754 Coli_014754 0.008579057008300623
0 Coli_011429 Coli_011429 0.008579057008300623
0 Coli_015120 Coli_015120 0.008579057008300623
0 Coli_014813 Coli_014813 0.008579057008300623
0 Coli_018702 Coli_018702 0.008579057008300623
0 Coli_016030 Coli_016030 0.008579057008300623
0 Coli_018738 Coli_018738 0.008579057008300623
0 Coli_005026 Coli_005026 0.0017550270816289793
0 Coli_005130 Coli_005130 0.0017550270816289793
0 Coli_013031 Coli_013031 0.006938346219963091
0 Coli_013032 Coli_013032 0.006938346219963091
0 Coli_013133 Coli_013133 0.006938346219963091
0 Coli_015060 Coli_015060 0.006938346219963091
0 Coli_006892 Coli_006892 0.006938346219963091
0 Coli_013132 Coli_013132 0.006938346219963091
0 Coli_010607 Coli_010607 0.006938346219963091
0 Coli_015056 Coli_015056 0.006938346219963091
