Gene Species Taxon Signature
0 Coli_008312 Coli_008312 0.30272468588419704
0 Coli_010460 Coli_010460 0.30272468588419704
0 Coli_009687 Coli_009687 0.038571517593914445
0 Coli_009691 Coli_009691 0.038571517593914445
0 Coli_009688 Coli_009688 0.02474311127821523
0 Coli_009689 Coli_009689 0.02474311127821523
0 Coli_009684 Coli_009684 0.02474311127821523
0 Coli_009692 Coli_009692 0.02474311127821523
0 Coli_009693 Coli_009693 0.014258807992369693
0 Coli_009248 Coli_009248 0.30272468588419704
0 Coli_005761 Coli_005761 0.30272468588419704
0 Coli_006874 Coli_006874 0.014258807992369693
0 Coli_009682 Coli_009682 0.014258807992369693
0 Coli_009694 Coli_009694 0.014258807992369693
0 Coli_009695 Coli_009695 0.014258807992369693
0 Coli_009685 Coli_009685 0.014258807992369693
0 Coli_006868 Coli_006868 0.014258807992369693
0 Coli_008308 Coli_008308 0.30272468588419704
0 Coli_007232 Coli_007232 0.30272468588419704
0 Coli_004882 Coli_004882 0.30272468588419704
0 Coli_004883 Coli_004883 0.30272468588419704
0 Coli_011718 Coli_011718 0.30272468588419704
0 Coli_008313 Coli_008313 0.30272468588419704
0 Coli_009247 Coli_009247 0.30272468588419704
0 Coli_009249 Coli_009249 0.30272468588419704
0 Coli_007185 Coli_007185 0.30272468588419704
0 Coli_009250 Coli_009250 0.30272468588419704
0 Coli_009251 Coli_009251 0.30272468588419704
0 Coli_009053 Coli_009053 0.30272468588419704
0 Coli_007001 Coli_007001 0.30272468588419704
0 Coli_001300 Coli_001300 0.30272468588419704
0 Coli_001301 Coli_001301 0.30272468588419704
0 Coli_008307 Coli_008307 0.30272468588419704
0 Coli_009683 Coli_009683 0.014258807992369693
0 Coli_016917 Coli_016917 0.014258807992369693
0 Coli_006400 Coli_006400 0.30272468588419704
0 Coli_004857 Coli_004857 0.30272468588419704
0 Coli_001298 Coli_001298 0.30272468588419704
0 Coli_001299 Coli_001299 0.30272468588419704
0 Coli_001309 Coli_001309 0.30272468588419704
0 Coli_001310 Coli_001310 0.30272468588419704
0 Coli_001302 Coli_001302 0.30272468588419704
0 Coli_001307 Coli_001307 0.30272468588419704
0 Coli_001311 Coli_001311 0.30272468588419704
0 Coli_005865 Coli_005865 0.30272468588419704
0 Coli_001306 Coli_001306 0.30272468588419704
0 Coli_015868 Coli_015868 0.30272468588419704
0 Coli_001303 Coli_001303 0.30272468588419704
0 Coli_006370 Coli_006370 0.30272468588419704
0 Coli_001304 Coli_001304 0.30272468588419704
0 Coli_001308 Coli_001308 0.30272468588419704
0 Coli_001305 Coli_001305 0.30272468588419704
0 Coli_016047 Coli_016047 0.008243942310177228
0 Coli_012457 Coli_012457 0.008243942310177228
0 Coli_016051 Coli_016051 0.008243942310177228
0 Coli_018646 Coli_018646 0.008243942310177228
0 Coli_006479 Coli_006479 0.00278116788498089
0 Coli_016048 Coli_016048 0.0026653249420797226
0 Coli_016050 Coli_016050 0.0026653249420797226
0 Coli_006854 Coli_006854 0.014258807992369693
0 Coli_016914 Coli_016914 0.014258807992369693
0 Coli_006859 Coli_006859 0.014258807992369693
0 Coli_006856 Coli_006856 0.014258807992369693
0 Coli_006877 Coli_006877 0.014258807992369693
0 Coli_006853 Coli_006853 0.014258807992369693
0 Coli_010067 Coli_010067 0.014258807992369693
0 Coli_006869 Coli_006869 0.014258807992369693
0 Coli_009686 Coli_009686 0.014258807992369693
0 Coli_006861 Coli_006861 0.001881790770489123
