Gene Species Taxon Signature
0 Coli_006017 Coli_006017 0.31440366907440787
0 Coli_006019 Coli_006019 0.31440366907440787
0 Coli_006016 Coli_006016 0.31440366907440787
0 Coli_007843 Coli_007843 0.31440366907440787
0 Coli_007872 Coli_007872 0.31440366907440787
0 Coli_006278 Coli_006278 0.31440366907440787
0 Coli_006020 Coli_006020 0.31440366907440787
0 Coli_007818 Coli_007818 0.253115952028271
0 Coli_015298 Coli_015298 0.21603652374405602
0 Coli_015293 Coli_015293 0.06467050337449427
0 Coli_001885 Coli_001885 0.02524147811507866
0 Coli_001889 Coli_001889 0.02524147811507866
0 Coli_001884 Coli_001884 0.02524147811507866
0 Coli_015249 Coli_015249 0.008928161583460026
0 Coli_015344 Coli_015344 0.02028029955443244
0 Coli_015333 Coli_015333 0.02028029955443244
0 Coli_015292 Coli_015292 0.02028029955443244
0 Coli_015343 Coli_015343 0.02028029955443244
0 Coli_015334 Coli_015334 0.02028029955443244
0 Coli_015299 Coli_015299 0.02028029955443244
