Gene Species Taxon Signature
0 Coli_014446 Coli_014446 0.19350706619678504
0 Coli_019980 Coli_019980 0.07503121083566103
0 Coli_006343 Coli_006343 0.048326066808126365
0 Coli_016485 Coli_016485 0.045525147680888424
0 Coli_014440 Coli_014440 0.022601014338555058
0 Coli_019975 Coli_019975 0.02127547718037333
0 Coli_010734 Coli_010734 0.013673595235926081
0 Coli_006882 Coli_006882 0.02127547718037333
0 Coli_016419 Coli_016419 0.02127547718037333
0 Coli_006353 Coli_006353 0.013673595235926081
0 Coli_016462 Coli_016462 0.013673595235926081
0 Coli_006915 Coli_006915 0.013673595235926081
0 Coli_006939 Coli_006939 0.012366483069868166
0 Coli_012917 Coli_012917 0.005612437136911673
0 Coli_014260 Coli_014260 0.005612437136911673
0 Coli_007027 Coli_007027 0.005612437136911673
0 Coli_006898 Coli_006898 0.005612437136911673
0 Coli_012738 Coli_012738 0.012366483069868166
0 Coli_016461 Coli_016461 0.012366483069868166
0 Coli_006911 Coli_006911 0.012366483069868166
0 Coli_011080 Coli_011080 0.012366483069868166
0 Coli_016299 Coli_016299 0.012366483069868166
0 Coli_015918 Coli_015918 0.012366483069868166
0 Coli_009151 Coli_009151 0.012366483069868166
0 Coli_016465 Coli_016465 0.012366483069868166
0 Coli_005841 Coli_005841 0.005612437136911673
0 Coli_000125 Coli_000125 0.005612437136911673
0 Coli_007018 Coli_007018 0.005612437136911673
0 Coli_016237 Coli_016237 0.005612437136911673
0 Coli_016234 Coli_016234 0.005612437136911673
0 Coli_016201 Coli_016201 0.005612437136911673
0 Coli_016457 Coli_016457 0.012366483069868166
0 Coli_016460 Coli_016460 0.012366483069868166
0 Coli_006897 Coli_006897 0.012366483069868166
0 Coli_016227 Coli_016227 0.012366483069868166
0 Coli_010744 Coli_010744 0.012366483069868166
0 Coli_010743 Coli_010743 0.012366483069868166
0 Coli_016463 Coli_016463 0.012366483069868166
0 Coli_010735 Coli_010735 0.012366483069868166
0 Coli_010745 Coli_010745 0.012366483069868166
0 Coli_006346 Coli_006346 0.012366483069868166
0 Coli_006902 Coli_006902 0.012366483069868166
0 Coli_004173 Coli_004173 0.001372402335415094
0 Coli_000177 Coli_000177 0.0010512135919498794
0 Coli_005672 Coli_005672 0.0010512135919498794
0 Coli_000436 Coli_000436 0.012366483069868166
0 Coli_009654 Coli_009654 0.012366483069868166
0 Coli_012805 Coli_012805 0.012366483069868166
0 Coli_008755 Coli_008755 0.012366483069868166
0 Coli_006354 Coli_006354 0.012366483069868166
0 Coli_018231 Coli_018231 0.012366483069868166
0 Coli_016456 Coli_016456 0.012366483069868166
0 Coli_010736 Coli_010736 0.012366483069868166
0 Coli_005803 Coli_005803 0.012366483069868166
0 Coli_012957 Coli_012957 0.012366483069868166
0 Coli_006433 Coli_006433 0.012366483069868166
0 Coli_009125 Coli_009125 0.012366483069868166
0 Coli_012807 Coli_012807 0.012366483069868166
0 Coli_012811 Coli_012811 0.009171981302631332
0 Coli_012812 Coli_012812 0.006845266382229706
0 Coli_000174 Coli_000174 0.0032039192378697226
