Gene Species Taxon Signature
0 Coli_007739 Coli_007739 0.2959837133771392
0 Coli_007795 Coli_007795 0.2959837133771392
0 Coli_007754 Coli_007754 0.2959837133771392
0 Coli_018497 Coli_018497 0.2959837133771392
0 Coli_007664 Coli_007664 0.2959837133771392
0 Coli_007857 Coli_007857 0.2959837133771392
0 Coli_018500 Coli_018500 0.2959837133771392
0 Coli_019955 Coli_019955 0.10839123635642099
0 Coli_002052 Coli_002052 0.03777238423646502
0 Coli_018322 Coli_018322 0.015942771873385404
0 Coli_014244 Coli_014244 0.017070880695073894
0 Coli_014255 Coli_014255 0.017070880695073894
0 Coli_008559 Coli_008559 0.017070880695073894
0 Coli_015210 Coli_015210 0.017070880695073894
0 Coli_012475 Coli_012475 0.017070880695073894
0 Coli_013620 Coli_013620 0.017070880695073894
0 Coli_013131 Coli_013131 0.017070880695073894
0 Coli_000932 Coli_000932 0.017070880695073894
0 Coli_019408 Coli_019408 6.796553341449136e-05
0 Coli_004545 Coli_004545 0.015942771873385404
0 Coli_013961 Coli_013961 0.015942771873385404
0 Coli_020587 Coli_020587 0.015942771873385404
0 Coli_004734 Coli_004734 0.015942771873385404
0 Coli_004732 Coli_004732 0.015942771873385404
0 Coli_004736 Coli_004736 0.015942771873385404
0 Coli_004846 Coli_004846 0.015942771873385404
0 Coli_008478 Coli_008478 0.015942771873385404
0 Coli_017335 Coli_017335 0.015942771873385404
0 Coli_004820 Coli_004820 0.015942771873385404
0 Coli_010771 Coli_010771 0.015942771873385404
0 Coli_019377 Coli_019377 0.015942771873385404
0 Coli_013909 Coli_013909 0.015942771873385404
0 Coli_020653 Coli_020653 0.0054434610632193275
